folder,kind,day,night,etc
NegativeDB_chimney,train,32992,0,17809
NegativeDB_cloud,train,10007,0,0
NegativeDB_fog,train,20757,0,4877
PositiveRealDB_dark,train,60999,0,474
PositiveRealDB_fire,train,26075,28394,23
PositiveRealDB_whitegray,train,81160,1030,9076
PositiveSyntheticDB_dark,train,16750,342,8091
NegativeDB_chimney,val,4094,0,2192
NegativeDB_cloud,val,6600,16,19
NegativeDB_fog,val,3173,0,0
PositiveRealDB_dark,val,7358,0,375
PositiveRealDB_fire,val,3473,3462,16
PositiveRealDB_whitegray,val,12749,107,3101
PositiveSyntheticDB_dark,val,2634,22,511
PositiveSyntheticDB_fire,val,2754,0,0
PositiveSyntheticDB_whitegray,val,4931,0,505
